,Coordinates,Oscillator_period,Genome,Age,status
creature_21,"['x_125', 'y_121']",10,"['93D618BC', '355614E5', '5A83DF5E', '166A523D', '92D03ABC', 'DF97AF32', '93D818FC', '3064F8A1', 'D702E57C', '1F561DAD', '3064F923', 'EBB11950', 'E3B0195D', 'EBB119D4', '58971F4B', '9A990F7F', '3864F9A1', '3E2C097F', 'D787BD77', 'D38DAF2E', '3064F8A1', 'EDA118D4', 'E3B11950', 'DF81E15C', '9A9F0F6E', 'EBA559D4', 'C3A179D4', 'DF87BCF6', 'E9B119F4', '13D838FE', 'F785E17C', '375E54E5']",180,Survived
creature_22,"['x_127', 'y_127']",10,"['DF85BD7C', 'A001078B', 'D78FAE06', '588F1B23', '3E2C055D', 'EBA118D4', 'DF85AF74', 'EBB119D0', '342A5E00', '13D838FE', '989F0F7E', '262C055D', '17561DAD', '3064F923', '307EF92A', '9A9F0F76', '5C3B1323', 'DC1F1B03', 'DF81C14C', '9B9DD2E0', '98865F85', '589F1F23', 'C2914D9D', '989F121C', '35565CED', '588F0F23', '9AD122E4', 'FF87AD7C', 'EBB139D5', '9A9F0F76', '989F121C', '9E9F0B7E']",180,Survived
creature_23,"['x_110', 'y_0']",10,"['EBA19994', '35565CED', '155210E5', 'CBA179D4', '2C3C415D', '3050FBC8', '3C28015D', '93D838FC', '83D838EE', '1B4126E0', '9E9F0F7E', 'EBF999D0', 'DF85BD7C', 'A882070B', '3064F821', 'DF85AE7C', '3E2C055D', '3E2D091F', '83D618BC', '3064F8A1', '58971F5B', '92D038BC', '355E5EED', '375E54E5', '355616E5', 'DA83DF5E', '3E2C097F', '58BF1F23', '3C2D091F', '351614E4', '9AD126E0', 'D9273E07']",180,Died
creature_24,"['x_127', 'y_4']",10,"['007CF929', 'A082050B', '4C1B1B23', '93D83A9C', '989F121C', '93F838B8', '5C1B1B23', '17561DAD', '989F161C', '3D561CED', '1E6A511D', '355656ED', '93D83A9C', 'B040BB19', '306DE933', '9A9F0FFF', 'D8DD9F2B', 'D8DD9F2B', 'EBB119D0', '9AD122A2', '8A1F0B7E', '95264756', '9A5126A0', 'DB85BD7C', '14141C6A', '999F121C', '9A9127A2', '3E2C097F', '8AD506A0', 'D387BD77', '96F8089C', '8A1F0B7E']",180,Survived
creature_25,"['x_123', 'y_127']",186,"['9E542B5C', '999F121C', '9E9F0F7C', 'DF85BD7C', '96FCC89C', '362C0D5D', '342C055F', '5C3B1B23', 'DF81E15C', 'EBF999D0', 'D798E57C', '3064F9A1', 'C3A159D4', '93D838F8', '93F83898', '589F1F23', '12E8D119', '5C3B1323', '3E2C0555', '58971F4B', '355616E5', 'D787BD37', '3064E8B1', '9A9127A2', '9A9F0F7E', 'DF81E15C', '3E2C097F', '5C1B1B23', 'EBB119D4', '361875B8', 'EBA119C5', '5B512662']",180,Survived
creature_26,"['x_117', 'y_126']",10,"['EBB11950', 'DF81E17C', 'DF87BCF6', '9B9D86E0', '9A912722', 'EBA15DD4', 'D780C53C', '166AD235', '5C1B1B23', '3065E933', '58971E4F', 'D781C17C', 'E9166E06', 'D781C56C', '3151BB19', '9678089E', '375E54E5', 'D38DAE2A', 'DB87BCD6', '35D254E5', '166AD23D', '18871F85', '10509A49', '3064F923', 'DA83AF7E', '93D838FC', '3D182A90', 'BEDC2B5A', '3064D8A1', 'A0820D0B', 'DF81E15C', '3E2C095D']",180,Died
creature_27,"['x_112', 'y_127']",10,"['EBB13950', 'D787BD77', '9A9F0F7F', 'DF978F32', 'EBB11950', '3065E133', '989E109D', '3D561CED', '3064F8A1', '1C2E055C', '9A9F121C', '939838FE', 'DF87BCF6', 'BADC2B58', '989D347F', 'D585BF24', '306CDB39', '3050BB99', '50509B69', '9A9F0F76', 'EDA118D4', '50509B69', 'E9166E06', '58971FCB', '3E2C0D7F', '989D113F', '3C26155C', 'EDA118D4', 'EBA15DD4', '9B9D92E0', '355616E5', 'E9142E06']",180,Died
creature_28,"['x_80', 'y_0']",10,"['989F0F7E', 'DF87AF32', '5C3B1323', 'D9273E07', 'D702E57C', '3064F923', '3E2C055D', '9ED42B5C', 'D785BF77', 'D785AF24', '9A9F181C', '3426661F', '342C055F', '9A9F0F76', '9ED42B5C', 'B6345309', '9B9D96E0', '13D838FE', '342C055D', '9AD026A2', 'D700E57C', '5CBB1B23', '92991F1D', '35561DED', '5C1B1B23', '3E2D091F', 'E3B0195D', '3E2D091F', '3E2D091F', '95264756', 'B050BB1D', '9E9D1B3F']",180,Died
creature_29,"['x_127', 'y_51']",10,"['3EAC097F', '35521DED', '989D113F', '1E24255D', '9AD526A2', '14141C6A', '3C0A5D00', 'B064F9A1', 'D787BF77', '1B4126E0', '3064FB21', '5781D13C', '92991F1D', 'C2914D9D', '2C2C055D', 'B010BB1D', '5781C13C', 'EBB119D0', '3050BBE9', '989D157F', 'F785E17C', '35561DED', '588F1F23', 'D8DD9F2B', '3C2E055C', '342C055D', '963D562C', '9A9F181C', '3065E933', '93D83A9C', '9E9F0F7E', '3050BBE9']",180,Died
creature_30,"['x_117', 'y_0']",188,"['3E2D091F', '9A912722', 'DF87BCF6', '93D818FC', 'DF87BCF6', '58971FCB', '32ECD11D', 'EBA15DD4', '35D254E5', '3050BB99', '3050BBE9', 'E9166E06', 'E9166606', 'D780C56C', '35565CED', '9AD026A2', '14D42B58', '3064F921', 'ED2118D4', 'E9142E06', '50509B69', 'D381657D', 'EDA118D4', '35561DED', '989D147F', '9AD126E0', '9A9F0F76', 'D781C17C', 'D102475F', '35565CED', 'D88F1FA3', '3064F923']",180,Survived
creature_31,"['x_127', 'y_39']",-58,"['92D026A2', '361875B8', '8291459D', 'BE9C2B5A', '3064F8A1', 'DF85BC3C', 'A882070B', '3C2A5E00', 'EBB11950', '361875B8', '83F838B8', 'EBF999D0', 'D987BCD6', '9A9F0F7E', '32E85119', '32E8C111', '3C2A5C00', 'D781C17C', '9AD126A6', '9AD126E0', '9A9127A2', 'F787BD77', '9AD026E0', '342C055D', '3064F8A1', 'EBB139D5', 'ABB11950', '13D838FE', 'D787BD77', '9B9D92E0', '126AD23D', 'A28B0539']",180,Died
creature_32,"['x_126', 'y_122']",10,"['5C1B1B23', '362C055D', '9ED42B5C', '92991F1D', '9A912722', 'DE81E17C', 'DF85BD7C', '355614E5', '1414146A', '355E5EED', '3E2C055D', '963D562C', '9A9F0FFF', 'D785AF24', '9AD126E0', '9A9F181C', '989F0F7E', 'D38DAE3E', '35565CED', '1B4126E0', '9ED42B5C', '589F1F23', '9A9F0F7E', 'DF87AD7C', '3064F923', '35561DED', '9AD026A2', '57D7AF36', '3064F921', '3C2C015F', '3C2A5C00', '3E2D091F']",180,Survived
creature_33,"['x_127', 'y_40']",10,"['D780416C', '9AD126E0', '3065E933', 'D781C56C', '9A9F181C', 'DF87AD7C', 'B6345309', '93D83A9C', '3464F923', '8A1F0B7E', '3E2D091F', '3E2C095D', '98861F85', 'DF85BC3C', '3E2C015D', '999F121C', 'DF87AD7C', 'EBB199D5', '342C055D', 'B040BB19', '166ADA3D', 'D781C57C', '93F838B8', '9A9E0D7E', '3E2C055D', 'D587BD77', '355656E9', 'D785AF24', '35561DED', 'D9273E07', '13D838FE', '9AD126E0']",180,Died
creature_34,"['x_125', 'y_2']",10,"['5A9F8F2B', 'CDA118D6', '3E2C095D', '93D838FE', '989D157F', '37836268', 'D787BD77', 'DA83AF76', '9678089E', '3151BB19', '3E2D091F', 'DF81E25C', '93D838F8', 'B064F9A1', 'F795E17C', '1C182990', '589F1F23', '1B5026E0', 'D78FAE06', 'DF85AD7C', 'F795E17C', 'DF87AF32', '166AD23D', 'EBB119D5', '9A9F0F7E', '9AD126E0', '98DD113F', '98DD157F', 'BEDC2B58', '3C2E055C', '1B4126E0', '9AD122E0']",180,Survived
creature_35,"['x_127', 'y_99']",10,"['166A523D', '17561DAD', 'DF81E15C', '357614E5', '9A9F181C', '9A9F0F7E', '3C2C015F', '307EF92A', 'DF85AF7C', 'EBB11950', '1B5026E0', 'B6345309', '9A9F1F7E', 'F787BD77', '58971F4B', '588F1F23', '9C9F120C', 'D781617D', 'D78FAE06', 'D89D113F', '35571DED', '3064F923', 'DF81E15C', 'EBB139D5', 'DF81E15C', '9ED42B5D', '9E9F0B7E', '9ED42B5C', 'D786BD77', '9AD026A2', 'C3A159D4', 'DF81E15C']",180,Died
