,Coordinates,Oscillator_period,Genome,Age,status
creature_26,"['x_127', 'y_127']",61,"['7F8F786A', '3BD57131', '05EEB1BC', '3C98EC26', 'F6EA182F', '92BC437B', '8E2F6A08', 'A6D96DE7', 'BCC5E65D', 'D094312F', '3C98EC06', 'F91B6E91', 'ACDE3490', 'DC5A92E6', 'F75B317A', 'FBE28D74', '8C7B6BEA', 'D9809FD5', '8F88DF8C', 'FBD9389C', '3CEABD3C', '3875B979', '4890230A', '3B86B5EE']",54,Survived
creature_27,"['x_4', 'y_2']",10,"['700F9AA0', '3830F23C', '9F4C32B2', '57423438', '81F52C49', '6D70F992', 'D56449E0', '622987DF', '7E7D3A16', 'A65EC04D', '9DFC9EAC', 'FF6C53F2', 'BB68E53D', '91062C2E', 'BCC5E65D', '26D96DE7', '32A37640', '388FFE81', 'CA1EE4A6', '79B3E3CE', 'EF82611F', 'E770609B', '23681639', '6F93B719']",54,Died
creature_28,"['x_127', 'y_114']",52,"['CED37AF9', '6D70F992', '0B10F105', '352B87C5', '74B2A540', 'B917B97D', '01760337', 'A65EC04D', '1D98EE72', '370BA332', '7D33265B', '83369424', '3B951B04', '96441AAB', '30A226CA', 'AC809E3D', '19DC08B9', '0ED10587', '4B3A6399', '370BA332', 'D56449E0', '08F1ACFF', '2A919B9F', '47B83253']",54,Survived
creature_29,"['x_7', 'y_116']",62,"['1A0658C6', 'A8B7A77B', '19DC08B9', '7D33265B', '3C4B6BB3', '4B3A6399', '96441AAB', '22195AF5', 'EB6C492D', '370BA332', '61422466', 'EC7DF3C5', 'D43568CF', '2DFB8096', '3E56C874', 'C9EACAD9', 'B81CD5A5', '4BCC7240', '55F8D353', '2A919B9F', 'AD3C7D51', '3B951B04', '2A919B9F', 'B422B23B']",54,Died
creature_30,"['x_127', 'y_0']",55,"['DABA7092', '8651B816', '1D98EE7A', '512CF997', '01760337', '1619E8BF', '4E30D627', 'F6EA182F', 'FE927C1A', '1BF78A11', '96441AAB', '87F22AAD', '133192FE', '146FEE8E', 'B917B97D', '199C0289', '26CE880F', 'D7F26CA2', '1619E8BF', '7EB3E77B', '4334E12E', '064CB1C6', '6F191C90', '9D772F33']",54,Survived
creature_31,"['x_114', 'y_0']",10,"['E47530CE', '22195AB5', '319C0EE8', 'DC5A92E6', 'E50770AD', '5ADB1A45', '5BBC635A', '20E632BB', 'DEC8F315', 'A135E906', 'B81CD5A5', '93FC3ECE', '6EB67317', '92BC437F', '3B8844DE', 'CCE17E01', '19F54324', 'D7D06CA2', '6AB30EFF', 'ACDE3410', '8C7B6BEA', '7E9F5D1A', 'F5DEF99E', '35847A1E']",54,Survived
creature_32,"['x_123', 'y_12']",10,"['20D08D9F', '3C4B6BB3', 'C6D95102', '6EA417E0', 'A63DB314', 'A9D8997D', '60FFE203', '84618BAA', '4D323709', '9D15816A', 'D25A8218', 'B3258FB6', '22195AF5', 'C9809FD5', '7E9F5D1A', 'D43568CF', '4ACC7240', '3A92397D', '146FEE8E', '7557B544', '622987DF', 'F012B877', 'EF11A67E', '4409C73F']",54,Survived
creature_33,"['x_27', 'y_54']",10,"['9D772F33', '8F800EAB', '47A37FCA', '4A446A9E', '2BDED654', '7DF55CB0', 'B422B23B', 'DA68F3BE', 'A7C20EC2', 'F01D8CC0', '8E2F6A08', '4A56F74E', 'BC1E2B91', '84656B47', '26CE880F', '94EBA00D', '3E56C874', '4D323709', 'FD818DC7', 'D1FF16F6', '95291042', 'D125132E', '3A678B7B', '502D4A67']",54,Died
creature_34,"['x_28', 'y_66']",10,"['20D08D9F', 'EF11A67E', 'C9809FD5', 'D5644BE0', '4D323709', 'E1F0CCBD', '5E467C36', '99BDCF85', 'B917B97D', 'DB9E0B66', 'A63DB314', '9D15816A', '84618BAA', 'DC086D76', '26D96DE7', '146FEE8E', '3A92397D', '6EA417E0', 'FFDC28ED', '57423438', 'E13DD781', '4409C73F', 'F012B877', 'C6D95102']",54,Died
creature_35,"['x_50', 'y_114']",10,"['FFDC28ED', 'A3EE7326', 'EF82611F', 'CF0511AD', 'B7F9C9D2', 'AEFD14D7', 'F91B6E91', '8FFD8A5F', '388FFE81', 'A8B7A77B', 'DE463DBB', 'ACDA7410', '0D14C739', '81F52C49', 'F2C1B02F', '08F6661B', '98E41FBC', '17EB80B8', '93FC3ECE', 'D3A0DA9D', '669B3447', '3515221E', 'EB543E52', 'D7774606']",54,Died
creature_36,"['x_66', 'y_33']",10,"['7EB3E77B', '67C63670', 'D3D8FD08', 'FD91CE8E', 'F5DD412C', '4C16B5F6', '5C196C71', '05C72989', '92BC437F', 'DD02FD77', '2F32A9E2', '1C4A7FFC', '0D76CCCE', '646B2759', '283B7DEC', 'AB9E05FF', '0626483B', '2A919B9F', 'EF82611F', 'E55BA5F7', 'B7C814A7', '2EDF0F54', 'CD740434', 'E6001543']",54,Survived
